2026-02-12 00:16:17.119 [main] INFO  c.netflix.discovery.DiscoveryClient [cid=] - Force full registry fetch : false
2026-02-12 00:16:17.119 [main] INFO  c.netflix.discovery.DiscoveryClient [cid=] - Application is null : false
2026-02-12 00:16:17.119 [main] INFO  c.netflix.discovery.DiscoveryClient [cid=] - Registered Applications size is zero : true
2026-02-12 00:16:17.120 [main] INFO  c.netflix.discovery.DiscoveryClient [cid=] - Application version is -1: true
2026-02-12 00:16:17.120 [main] INFO  c.netflix.discovery.DiscoveryClient [cid=] - Getting all instance registry info from the eureka server
2026-02-12 00:16:17.991 [main] INFO  c.netflix.discovery.DiscoveryClient [cid=] - The response status is 200
2026-02-12 00:16:17.997 [main] INFO  c.netflix.discovery.DiscoveryClient [cid=] - Starting heartbeat executor: renew interval is: 30
2026-02-12 00:16:18.004 [main] INFO  c.n.discovery.InstanceInfoReplicator [cid=] - InstanceInfoReplicator onDemand update allowed rate per min is 4
2026-02-12 00:16:18.012 [main] INFO  c.netflix.discovery.DiscoveryClient [cid=] - Discovery Client initialized at timestamp 1770835578012 with initial instances count: 1
2026-02-12 00:16:18.030 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry [cid=] - Registering application DEPARTMENT-SERVICE with eureka with status UP
2026-02-12 00:16:18.031 [main] INFO  c.netflix.discovery.DiscoveryClient [cid=] - Saw local status change event StatusChangeEvent [timestamp=1770835578031, current=UP, previous=STARTING]
2026-02-12 00:16:18.036 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient [cid=] - DiscoveryClient_DEPARTMENT-SERVICE/host.docker.internal:department-service:0: registering service...
2026-02-12 00:16:18.161 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient [cid=] - DiscoveryClient_DEPARTMENT-SERVICE/host.docker.internal:department-service:0 - registration status: 204
2026-02-12 00:16:18.462 [main] INFO  c.p.d.DepartmentServiceApplication [cid=] - Started DepartmentServiceApplication in 23.106 seconds (process running for 26.055)
2026-02-12 00:16:18.896 [RMI TCP Connection(1)-192.168.31.236] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [cid=] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-12 00:16:18.897 [RMI TCP Connection(1)-192.168.31.236] INFO  o.s.web.servlet.DispatcherServlet [cid=] - Initializing Servlet 'dispatcherServlet'
2026-02-12 00:16:18.903 [RMI TCP Connection(1)-192.168.31.236] INFO  o.s.web.servlet.DispatcherServlet [cid=] - Completed initialization in 5 ms
